,State,Year,Quater,Transaction_type,Transaction_count,Transaction_amount,code,Latitude,Longitude
224,Arunachal Pradesh,2019,1,Others,2239,2730548.597814082,AR,28.0937702,94.5921326
225,Arunachal Pradesh,2019,2,Recharge & bill payments,131988,30420803.41271234,AR,28.0937702,94.5921326
226,Arunachal Pradesh,2019,2,Peer-to-peer payments,106527,704237943.4054435,AR,28.0937702,94.5921326
227,Arunachal Pradesh,2019,2,Merchant payments,16828,13955724.130712911,AR,28.0937702,94.5921326
228,Arunachal Pradesh,2019,2,Financial Services,267,160660.8821362781,AR,28.0937702,94.5921326
229,Arunachal Pradesh,2019,2,Others,3046,3880742.524023137,AR,28.0937702,94.5921326
230,Arunachal Pradesh,2019,3,Recharge & bill payments,216228,50946104.94289842,AR,28.0937702,94.5921326
231,Arunachal Pradesh,2019,3,Peer-to-peer payments,133484,841037395.2474606,AR,28.0937702,94.5921326
232,Arunachal Pradesh,2019,3,Merchant payments,16900,17178248.07427002,AR,28.0937702,94.5921326
233,Arunachal Pradesh,2019,3,Financial Services,864,64089.11350267195,AR,28.0937702,94.5921326
234,Arunachal Pradesh,2019,3,Others,2758,3419197.4177385764,AR,28.0937702,94.5921326
235,Arunachal Pradesh,2019,4,Recharge & bill payments,259183,63516906.09060433,AR,28.0937702,94.5921326
236,Arunachal Pradesh,2019,4,Peer-to-peer payments,177833,1100137447.9340453,AR,28.0937702,94.5921326
237,Arunachal Pradesh,2019,4,Merchant payments,19769,23192271.69157681,AR,28.0937702,94.5921326
238,Arunachal Pradesh,2019,4,Financial Services,314,305379.7987782319,AR,28.0937702,94.5921326
239,Arunachal Pradesh,2019,4,Others,2376,3421174.01227797,AR,28.0937702,94.5921326
240,Arunachal Pradesh,2020,1,Recharge & bill payments,329834,86011654.77474582,AR,28.0937702,94.5921326
241,Arunachal Pradesh,2020,1,Peer-to-peer payments,203429,1263912288.4066367,AR,28.0937702,94.5921326
242,Arunachal Pradesh,2020,1,Merchant payments,31181,28553052.1339188,AR,28.0937702,94.5921326
